,id,Date,SAR_mean,SAR_std,SAR_med,modis_mean,modis_std,modis_med,NDVI_mean
209,104856307,291021,0.45639884737674213,0.4303139553223235,0.4473586881831948,0.511326481105675,0.1040287232613433,0.48078369393645704,0.145101372549467
210,104856307,101121,0.4334826305388368,0.3578287808662843,0.4302097622108176,0.4877245864518738,0.08367906858467111,0.4721796759019823,0.16475691750784902
211,104838039,300119,0.37851975951638606,0.3539583763266243,0.37271790444177877,0.540710807924697,0.1497643906625262,0.5111244749649038,0.2428406077368359
212,104838039,230219,0.3964919671247205,0.3407531192493005,0.39089923655616043,0.586927163463031,0.12008009071735017,0.5622328730495547,0.4519073672848349
213,104838039,220819,0.35787733489724255,0.39920764769378936,0.34186462180559374,0.5763955351630585,0.08691848826914185,0.5596181167677818,0.2356598660819229
214,104838039,030919,0.29809189601816466,0.3291136614623007,0.28925134732948227,0.5374062306413245,0.060393621149993706,0.5231434571116025,0.18931297657351903
215,104838039,270919,0.26245557046778084,0.29242861357506605,0.2540177026765938,0.48581562205313145,0.07194886757362592,0.4720947459501268,0.17443910786171837
216,104838039,091019,0.22122649833938413,0.25134909511652004,0.2136300065292816,0.4738131301768736,0.0776232334712989,0.46873545289153085,0.15724740972191614
217,104838039,201219,0.2715891137830472,0.2368275905047872,0.2679117924989788,0.3374746561855927,0.06686034785896829,0.33355047051773973,0.9171606296096321
218,104838039,060220,0.33227770266699064,0.2616198970070497,0.32858616960415454,0.40760288224179453,0.24659792046218953,0.4308334801637459,0.6613739844889956
219,104838039,130320,0.34037621333015816,0.2849213312030179,0.33223039658553355,0.45914282221434666,0.23506683056420272,0.4823617031123371,0.27482199657675127
220,104838039,250320,0.3765126547513753,0.3030946742306492,0.37159454202651965,0.542123014616976,0.15410111111787708,0.5545563344427182,0.494996781521803
221,104838039,180420,0.38865400728956845,0.304144277795499,0.3878602175465089,0.6058968596672154,0.11208499066702464,0.6069588220515656,0.7188778667871415
222,104838039,300420,0.43838660916097755,0.3549222466008699,0.4393638108963577,0.6605655897848592,0.10756112839954085,0.6619005588123212,0.6820905691701927
223,104838039,110720,0.4733209957459721,0.36562535239376454,0.4752243989877253,0.6496359817780651,0.10153149993016489,0.6429722328686783,0.39263654887311944
224,104838039,280820,0.46166058773106744,0.43385854328057893,0.4517958917934957,0.609996831298438,0.10489452367114893,0.6021751421806597,0.22565827865134286
225,104838039,081120,0.37902456702022197,0.3541072840090884,0.37041969349597803,0.6162595746716042,0.08845304668093233,0.6103993320034331,0.22262399634902444
226,104838039,201120,0.4101996381626688,0.3415033202610937,0.4065110156313235,0.6191614167163549,0.1139437375312525,0.6049391625215845,0.3984349174122884
227,104838039,261220,0.4192281685170041,0.3225185637990582,0.41684584948453013,0.7344341573762474,0.07853263418168199,0.7157228416986556,0.8748781592508521
228,104838039,120221,0.43446983948640905,0.3104482736891485,0.43427464868020793,0.4819302435652821,0.051046212218093294,0.4711699184528279,0.8315248906360191
229,104838039,080321,0.3603256862659037,0.2739838367104687,0.3578162377394334,0.5272771523414924,0.06751332998713,0.5173572027129699,0.20425897437405874
230,104838039,200321,0.3001182312563468,0.2570145632934135,0.29340311397385416,0.4486990604169352,0.13064087120033296,0.4555059714322708,0.18878185306292608
231,104838039,130421,0.32994986746164673,0.2520717728693203,0.3288990639786379,0.5505210078977427,0.12155589184324794,0.5510167942009478,0.5531642897677186
232,104838039,070521,0.3773102086091672,0.284037808505209,0.37592240796776355,0.6632884893792933,0.11237405850275103,0.660633521731479,0.7399085098216385
233,104838039,190521,0.3657190389179665,0.2809824540509845,0.36290230929349615,0.7131347904213949,0.1482187760365492,0.6951990931932028,0.6886495384858369
234,104838039,310521,0.3689159168030727,0.286396499722944,0.3663120410572758,0.7580410483026506,0.17054340092675171,0.7380694670604144,0.6892064591781265
235,104838039,180721,0.38536909767561234,0.31624230954042243,0.38008817102399817,0.6603700690631723,0.1464945817777085,0.6388861369040724,0.31317721188881054
236,104838039,300721,0.3702627145573334,0.34303155118767725,0.36644652790732424,0.5974453355756858,0.09544794292759295,0.5816879993520021,0.28239293853946285
237,104838039,040921,0.4159980570263073,0.37273353423823824,0.42012012633498297,0.39863555037276593,0.06378565846157512,0.38973476656690054,0.2750926517689234
238,104838039,221021,0.3404364910873799,0.3074938093553465,0.34038953334982325,0.4803180327037517,0.07480580725411909,0.47679277160101324,0.33788388157653093
239,104838039,031121,0.3002881596785785,0.2613156231680075,0.3012529264713359,0.5573824801371926,0.05218428426281606,0.55063844104945,0.3825391761338593
